"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2774","Edit course","LMS system","Sat Nov 29 19:55:04 UTC 2025","passed","Sat Nov 29 19:55:07 UTC 2025","Courses","Courses","",""
"","1699","User login with wrong email or password","LMS system","Sat Nov 29 19:54:57 UTC 2025","passed","Sat Nov 29 19:54:59 UTC 2025","Authorization","Authentication","",""
"","2255","Create course","LMS system","Sat Nov 29 19:55:03 UTC 2025","passed","Sat Nov 29 19:55:06 UTC 2025","Courses","Courses","",""
"","1868","User login with wrong email or password","LMS system","Sat Nov 29 19:54:55 UTC 2025","passed","Sat Nov 29 19:54:57 UTC 2025","Authorization","Authentication","",""
"","1482","Navigation from login page to registration page","LMS system","Sat Nov 29 19:54:59 UTC 2025","passed","Sat Nov 29 19:55:00 UTC 2025","Authorization","Authentication","",""
"","3023","User login with correct email and password","LMS system","Sat Nov 29 19:54:55 UTC 2025","passed","Sat Nov 29 19:54:58 UTC 2025","Authorization","Authentication","",""
"","1759","Check displaying of dashboard page","LMS system","Sat Nov 29 19:55:06 UTC 2025","passed","Sat Nov 29 19:55:08 UTC 2025","Dashboard","Dashboard","",""
"","1720","Registration with correct email, username and password","LMS system","Sat Nov 29 19:55:00 UTC 2025","passed","Sat Nov 29 19:55:02 UTC 2025","Registration","Authentication","",""
"","1663","User login with wrong email or password","LMS system","Sat Nov 29 19:54:58 UTC 2025","passed","Sat Nov 29 19:55:00 UTC 2025","Authorization","Authentication","",""
"","1484","Check displaying of empty courses list","LMS system","Sat Nov 29 19:55:02 UTC 2025","passed","Sat Nov 29 19:55:04 UTC 2025","Courses","Courses","",""
